name	docked_protein	score	no_atoms	Tool	ligand_efficiency
0002	2jam	-9.143	33	Vina	-0.27706060606060606
0003	2jam	-8.932	33	Vina	-0.27066666666666667
0004	2jam	-8.503	31	Vina	-0.2742903225806452
0005	2jam	-8.121	35	Vina	-0.23202857142857145
0006	2jam	-9.036	30	Vina	-0.30119999999999997
0011	2jam	-9.2	32	Vina	-0.2875
0017	2jam	-8.75	34	Vina	-0.25735294117647056
0018	2jam	-9.05	33	Vina	-0.2742424242424243
0020	2jam	-8.563	32	Vina	-0.26759375
0023	2jam	-7.723	35	Vina	-0.22065714285714286
0026	2jam	-8.949	25	Vina	-0.35796
0031	2jam	-7.326	24	Vina	-0.30524999999999997
0033	2jam	-8.603	30	Vina	-0.28676666666666667
0035	2jam	-8.787	30	Vina	-0.29290000000000005
0037	2jam	-9.15	26	Vina	-0.35192307692307695
0039	2jam	-7.111	20	Vina	-0.35555
0056	2jam	-6.926	22	Vina	-0.31481818181818183
0064	2jam	-7.213	21	Vina	-0.3434761904761905
0067	2jam	-6.695	22	Vina	-0.3043181818181818
0081	2jam	-7.75	22	Vina	-0.3522727272727273
0085	2jam	-7.934	25	Vina	-0.31736000000000003
0095	2jam	-8.859	25	Vina	-0.35436
0106	2jam	-8.872	28	Vina	-0.31685714285714284
0107	2jam	-8.569	30	Vina	-0.28563333333333335
0111	2jam	-7.54	28	Vina	-0.2692857142857143
0127	2jam	-8.931	27	Vina	-0.3307777777777777
0129	2jam	-9.642	28	Vina	-0.34435714285714286
0130	2jam	-9.046	27	Vina	-0.335037037037037
0131	2jam	-9.813	27	Vina	-0.36344444444444446
0136	2jam	-9.405	28	Vina	-0.3358928571428571
0137	2jam	-8.884	24	Vina	-0.3701666666666667
0138	2jam	-8.846	24	Vina	-0.3685833333333333
0141	2jam	-8.546	22	Vina	-0.38845454545454544
0152	2jam	-9.519	26	Vina	-0.3661153846153846
0153	2jam	-8.9	31	Vina	-0.2870967741935484
0156	2jam	-8.477	28	Vina	-0.30275
0167	2jam	-8.174	34	Vina	-0.24041176470588232
0169	2jam	-9.517	35	Vina	-0.2719142857142857
0170	2jam	-9.395	34	Vina	-0.2763235294117647
0175	2jam	-8.943	31	Vina	-0.2884838709677419
0176	2jam	-9.114	32	Vina	-0.2848125
0182	2jam	-9.202	35	Vina	-0.2629142857142857
0184	2jam	-7.511	32	Vina	-0.23471875
0188	2jam	-8.571	30	Vina	-0.2857
0191	2jam	-8.163	33	Vina	-0.24736363636363637
0199	2jam	-8.574	24	Vina	-0.35725
0200	2jam	-7.86	20	Vina	-0.393
0201	2jam	-8.759	24	Vina	-0.36495833333333333
0205	2jam	-8.845	24	Vina	-0.3685416666666667
0211	2jam	-7.686	21	Vina	-0.366
0213	2jam	-8.54	24	Vina	-0.3558333333333333
0216	2jam	-7.638	28	Vina	-0.2727857142857143
0219	2jam	-8.203	26	Vina	-0.3155
0226	2jam	-8.727	29	Vina	-0.30093103448275865
0231	2jam	-7.634	33	Vina	-0.23133333333333334
0235	2jam	-7.661	25	Vina	-0.30644
0243	2jam	-8.824	28	Vina	-0.3151428571428571
0244	2jam	-7.917	24	Vina	-0.329875
0247	2jam	-7.866	22	Vina	-0.35754545454545456
0257	2jam	-7.49	30	Vina	-0.24966666666666668
0263	2jam	-8.931	33	Vina	-0.2706363636363636
0265	2jam	-8.184	34	Vina	-0.24070588235294116
0274	2jam	-8.184	30	Vina	-0.2728
0278	2jam	-8.368	27	Vina	-0.30992592592592594
0289	2jam	-8.127	30	Vina	-0.27090000000000003
0293	2jam	-9.473	26	Vina	-0.3643461538461539
0294	2jam	-8.774	30	Vina	-0.29246666666666665
0302	2jam	-9.279	27	Vina	-0.3436666666666667
0305	2jam	-8.03	26	Vina	-0.3088461538461538
0309	2jam	-8.409	32	Vina	-0.26278125
0320	2jam	-9.385	29	Vina	-0.32362068965517243
0324	2jam	-9.653	31	Vina	-0.3113870967741936
0346	2jam	-7.726	34	Vina	-0.22723529411764706
0347	2jam	-9.177	33	Vina	-0.27809090909090906
0349	2jam	-8.245	31	Vina	-0.26596774193548384
0351	2jam	-8.274	31	Vina	-0.2669032258064516
0354	2jam	-8.337	31	Vina	-0.2689354838709677
0361	2jam	-8.615	32	Vina	-0.26921875
0362	2jam	-8.47	35	Vina	-0.24200000000000002
0364	2jam	-9.424	31	Vina	-0.304
0381	2jam	-8.167	28	Vina	-0.2916785714285714
0382	2jam	-9.275	28	Vina	-0.33125
0385	2jam	-8.787	28	Vina	-0.3138214285714286
0386	2jam	-8.578	31	Vina	-0.2767096774193548
0393	2jam	-7.765	26	Vina	-0.29865384615384616
0395	2jam	-8.897	28	Vina	-0.31775000000000003
0399	2jam	-9.291	27	Vina	-0.34411111111111115
0400	2jam	-8.447	29	Vina	-0.2912758620689655
0408	2jam	-8.91	28	Vina	-0.3182142857142857
0411	2jam	-9.033	31	Vina	-0.29138709677419355
0412	2jam	-9.177	31	Vina	-0.2960322580645161
0414	2jam	-9.622	32	Vina	-0.3006875
0416	2jam	-9.599	30	Vina	-0.3199666666666667
0421	2jam	-8.765	26	Vina	-0.33711538461538465
0425	2jam	-8.215	24	Vina	-0.34229166666666666
0426	2jam	-8.79	27	Vina	-0.32555555555555554
0428	2jam	-8.741	27	Vina	-0.3237407407407407
0429	2jam	-10.484	33	Vina	-0.3176969696969697
0436	2jam	-8.689	27	Vina	-0.32181481481481483
0439	2jam	-8.141	26	Vina	-0.31311538461538463
0441	2jam	-8.699	31	Vina	-0.28061290322580645
0444	2jam	-8.215	31	Vina	-0.265
0454	2jam	-7.668	21	Vina	-0.36514285714285716
0455	2jam	-8.039	25	Vina	-0.32156
0459	2jam	-9.559	27	Vina	-0.354037037037037
0467	2jam	-8.883	27	Vina	-0.32899999999999996
0469	2jam	-9.998	31	Vina	-0.32251612903225807
0471	2jam	-8.786	27	Vina	-0.32540740740740737
0473	2jam	-8.832	29	Vina	-0.3045517241379311
0483	2jam	-9.529	30	Vina	-0.3176333333333333
0484	2jam	-8.62	34	Vina	-0.25352941176470584
